'type','encrun','retrun','jit','Word','score','Response','RAWONSET','RT','subject','otherResps','ONSETtr','jit','enctype'
1,5,3,1500,'TRUTH',3,22,247004,836,'y1004','',1.21E+02,1500,5
2,7,3,2500,'LACK',1,22,251004,1541,'y1004','',1.23E+02,2500,0
0,2,3,2000,'CAPTAIN',3,22,256005,1566,'y1004','',1.25E+02,2000,1
1,5,3,1500,'TASK',3,22,260504,807,'y1004','',1.27E+02,1500,5
0,1,3,1500,'MOON',2,2,264504,672,'y1004','',1.29E+02,1500,1
2,7,3,1500,'TOWN',1,22,268504,727,'y1004','',1.31E+02,1500,0
2,7,3,2500,'CAREER',1,22,272504,2033,'y1004','',1.33E+02,2500,0
0,3,3,2500,'CIRCLE',99,0,277504,Inf,'y1004','',1.36E+02,2500,3
0,3,3,2500,'DEPARTMENT',3,22,282505,1942,'y1004','',1.38E+02,2500,3
0,4,3,2000,'FAST',2,2,287504,1018,'y1004','',1.41E+02,2000,3
1,2,3,2000,'PAIR',3,22,292004,639,'y1004','',1.43E+02,2000,1
1,4,3,2500,'SECRETARY',2,2,296505,1993,'y1004','',1.45E+02,2500,3
0,2,3,2500,'DEAL',3,22,301504,954,'y1004','',1.48E+02,2500,1
1,1,3,2000,'RED',3,22,306504,1440,'y1004','',1.50E+02,2000,1
1,6,3,3000,'HALF',99,0,311004,Inf,'y1004','',1.53E+02,3000,5
0,4,3,3000,'STUDENT',2,2,316505,1559,'y1004','',1.55E+02,3000,3
1,4,3,2000,'FRAME',3,22,322004,2406,'y1004','',1.58E+02,2000,3
0,5,3,3000,'COLLEGE',2,2,326504,1306,'y1004','',1.60E+02,3000,5
1,2,4,2500,'PROPERTY',2,2,2004,821,'y1004','',-2.00E+00,2500,1
1,6,4,3000,'WEST',3,22,7004,632,'y1004','',5.02E-01,3000,5
1,3,4,1500,'EVENT',2,2,12504,402,'y1004','',3.25E+00,1500,3
2,7,4,1500,'PLAY',1,22,16504,522,'y1004','',5.25E+00,1500,0
2,7,4,1500,'SPEECH',1,22,20504,1042,'y1004','',7.25E+00,1500,0
0,3,4,2500,'TALK',3,22,24504,4243,'y1004','_2',9.25E+00,2500,3
1,6,4,2000,'DUST',3,22,29505,697,'y1004','_22_22',1.18E+01,2000,5
1,4,4,2500,'COLUMN',2,2,34005,582,'y1004','',1.40E+01,2500,3
2,7,4,2500,'COVER',1,22,39004,398,'y1004','',1.65E+01,2500,0
